original_title,genres,actor1,actor2,director,popularity,release_date,vote_average,vote_count,production_companies,budget_adj,revenue_adj,release_year,runtime,id,imdb_id
Penny Dreadful,Horror,Rachel Miner,Mimi Rogers,Richard Brandes,0.038327999999999994,11/10/06,4.8,14,Brandes Films International,36465392.87917733,113802822.54054782,2006,92,15543,tt0454224
Bring It On: All or Nothing,Comedy,Hayden Panettiere,Solange Knowles,Steve Rash,0.017824,8/8/06,5.7,84,Universal Studios Home Entertainment,36465392.87917733,113802822.54054782,2006,99,11211,tt0490822
Idlewild,Action,AndrÃ© Benjamin,Paula Patton,Bryan Barber,0.03626,8/25/06,5.5,11,Atlas Entertainment,36465392.87917733,113802822.54054782,2006,121,13816,tt0417225
Comme t'y es belle,Comedy,MichÃ¨le Laroque,Aure Atika,Lisa Azuelos,0.032666,5/10/06,5.7,31,,36465392.87917733,113802822.54054782,2006,85,18607,tt0469055
The Protector,Drama,Tony Dadika,Greg Depetro,Chris R. Notarile,0.073737,10/15/06,7.0,29,Blinky Productions,36465392.87917733,113802822.54054782,2006,14,121506,tt1006941
Quand j'Ã©tais chanteur,Drama,GÃ©rard Depardieu,CÃ©cile De France,Xavier Giannoli,0.024471,9/13/06,5.8,12,,36465392.87917733,113802822.54054782,2006,112,31325,tt0464828
Desperation,Drama,Steven Weber,Tom Skerritt,Mick Garris,0.021863,5/23/06,5.2,25,Buena Vista,36465392.87917733,113802822.54054782,2006,131,10004,tt0129871
The Zodiac,Crime,Justin Chambers,Robin Tunney,Alexander Bulkley,0.017169,3/17/06,5.6,20,,36465392.87917733,113802822.54054782,2006,158,11345,tt0371739
Deutschland. Ein SommermÃ¤rchen,Documentary,Jens Lehmann,Arne Friedrich,SÃ¶nke Wortmann,0.013578,10/3/06,7.3,10,Little Shark Entertainment GmbH,36465392.87917733,113802822.54054782,2006,107,286,tt0853060
Hell,Drama,Nicolas Duvauchelle,Christiane Millet,Bruno Chiche,0.012131999999999999,3/1/06,6.3,13,,36465392.87917733,113802822.54054782,2006,100,33753,tt0457936
How to Eat Fried Worms,Comedy,Luke Benward,Hallie Kate Eisenberg,Bob Dolman,0.15321700000000002,1/1/06,5.7,11,New Line Cinema,36465392.87917733,14086313.521156501,2006,98,24115,tt0462346
ì§íŒ¨,Action,Ahn Jae-mo,Ahn Gil-kang,Ryoo Seung-wan,0.005412,5/25/06,6.9,20,Weyunaegang Productions,2920506.72738724,113802822.54054782,2006,92,20605,tt0821470
Khosla Ka Ghosla!,Comedy,Anupam Kher,Boman Irani,Dibakar Banerjee,0.001115,9/22/06,6.8,10,UTV Motion Pictures,36465392.87917733,113802822.54054782,2006,135,15412,tt0466460
Harry Potter and the Prisoner of Azkaban,Adventure,Daniel Radcliffe,Rupert Grint,Alfonso CuarÃ³n,5.827781,5/31/04,7.4,3550,1492 Pictures,150077901.975579,911786234.1159849,2004,141,673,tt0304141
Kill Bill: Vol. 2,Action,Uma Thurman,David Carradine,Quentin Tarantino,4.535598,4/16/04,7.5,2346,Miramax Films,34633361.994364396,175659789.789346,2004,136,393,tt0378194
Bridget Jones: The Edge of Reason,Comedy,RenÃ©e Zellweger,Hugh Grant,Beeban Kidron,3.9904879999999996,11/10/04,6.0,431,Miramax Films,57722269.990607396,46412191.4975558,2004,108,9801,tt0317198
Eternal Sunshine of the Spotless Mind,Science Fiction,Jim Carrey,Kate Winslet,Michel Gondry,3.863377,3/19/04,7.8,2012,Anonymous Content,23088907.9962429,83418061.15974659,2004,108,38,tt0338013
The Notebook,Romance,Rachel McAdams,Ryan Gosling,Nick Cassavetes,3.4256279999999997,6/25/04,7.5,1929,New Line Cinema,33478916.5945523,133457615.92248,2004,123,11036,tt0332280
The Incredibles,Action,Craig T. Nelson,Holly Hunter,Brad Bird,3.339406,11/5/04,7.2,3064,Walt Disney Pictures,106208976.782717,728965418.357159,2004,115,9806,tt0317705
The Bourne Supremacy,Action,Matt Damon,Franka Potente,Paul Greengrass,3.196643,7/23/04,7.1,1966,Universal Pictures,86583404.9859111,333057748.360456,2004,108,2502,tt0372183
Troy,War,Brad Pitt,Orlando Bloom,Wolfgang Petersen,3.177517,5/13/04,6.8,1598,Plan B Entertainment,202027944.967126,574232515.462641,2004,163,652,tt0332452
National Treasure,Adventure,Nicolas Cage,Diane Kruger,Jon Turteltaub,2.906282,11/19/04,6.4,1179,Walt Disney Pictures,115444539.98121399,401114240.684318,2004,131,2059,tt0368891
"I, Robot",Action,Will Smith,Bridget Moynahan,Alex Proyas,2.791375,7/15/04,6.6,2339,Twentieth Century Fox Film Corporation,138533447.97745702,400863751.430357,2004,115,2048,tt0343818
50 First Dates,Comedy,Adam Sandler,Drew Barrymore,Peter Segal,2.6686919999999996,2/13/04,6.5,1235,Columbia Pictures Corporation,86583404.9859111,226828759.26673302,2004,99,1824,tt0343660
Mean Girls,Comedy,Lindsay Lohan,Rachel McAdams,Mark Waters,2.629934,4/30/04,6.8,1357,Paramount Pictures,19625571.7968065,148972948.804502,2004,97,10625,tt0377092
Van Helsing,Horror,Hugh Jackman,Kate Beckinsale,Stephen Sommers,2.499507,5/5/04,5.9,918,Universal Pictures,184711263.969943,346630860.77296096,2004,132,7131,tt0338526
Hellboy,Fantasy,Ron Perlman,Selma Blair,Guillermo del Toro,2.361367,4/2/04,6.4,1314,Revolution Studios,76193396.3876018,114658347.656152,2004,122,1487,tt0167190
The Polar Express,Animation,Tom Hanks,Michael Jeter,Robert Zemeckis,2.241935,11/9/04,6.4,867,Castle Rock Entertainment,190483490.969004,353116829.412682,2004,100,5255,tt0338348
Shrek 2,Adventure,Mike Myers,Eddie Murphy,Andrew Adamson|Kelly Asbury|Conrad Vernon,2.191033,5/19/04,6.5,1676,DreamWorks SKG,173166809.971822,1061903622.7420199,2004,93,809,tt0298148
The Butterfly Effect,Science Fiction,Ashton Kutcher,Amy Smart,Eric Bress|J. Mackye Gruber,2.186534,1/22/04,7.1,1126,New Line Cinema,15007790.1975579,110897015.62010801,2004,113,1954,tt0289879
Resident Evil: Apocalypse,Horror,Milla Jovovich,Sienna Guillory,Alexander Witt,2.17643,9/10/04,6.1,756,Impact Pictures,51950042.9915466,149379272.025202,2004,94,1577,tt0318627
Ocean's Twelve,Thriller,George Clooney,Brad Pitt,Steven Soderbergh,2.175284,12/9/04,6.4,1376,Village Roadshow Pictures,126988993.97933601,418768465.354169,2004,125,163,tt0349903
Meet the Fockers,Comedy,Ben Stiller,Teri Polo,Jay Roach,2.0419549999999997,12/15/04,6.1,782,DreamWorks SKG,92355631.98497191,596436064.273978,2004,115,693,tt0290002
The Day After Tomorrow,Action,Dennis Quaid,Jake Gyllenhaal,Roland Emmerich,2.022895,5/26/04,6.1,1422,Lions Gate Films,144305674.976518,628332770.733608,2004,124,435,tt0319262
The Aviator,Drama,Leonardo DiCaprio,Cate Blanchett,Martin Scorsese,1.9112060000000002,12/25/04,6.7,834,Appian Way,133915666.37820901,117753430.780839,2004,170,2567,tt0338751
Collateral,Drama,Tom Cruise,Jamie Foxx,Michael Mann,1.8319299999999998,8/4/04,6.7,810,Paramount Pictures,75038950.9877896,251396983.988304,2004,120,1538,tt0369339
Shaun of the Dead,Horror,Simon Pegg,Nick Frost,Edgar Wright,1.8235970000000001,4/9/04,7.4,1413,Universal Pictures,4617781.59924859,34678837.9075538,2004,99,747,tt0365748
Blade: Trinity,Science Fiction,Wesley Snipes,Kris Kristofferson,David S. Goyer,1.792138,12/8/04,5.7,800,New Line Cinema,75038950.9877896,148814206.789801,2004,123,36648,tt0359013
Starship Troopers 2: Hero of the Federation,Adventure,Billy Brown,Richard Burgi,Phil Tippett,1.702547,4/20/04,3.9,100,Startroop Pictures Inc.,8081117.79868504,113802822.54054782,2004,88,10304,tt0367093
The Terminal,Comedy,Tom Hanks,Catherine Zeta-Jones,Steven Spielberg,1.6824919999999999,6/17/04,7.0,1131,DreamWorks SKG,69266723.9887289,253305240.674159,2004,128,594,tt0362227
Lemony Snicket's A Series of Unfortunate Events,Adventure,Jim Carrey,Meryl Streep,Brad Silberling,1.665648,12/16/04,6.5,747,Paramount Pictures,161622355.9737,241364107.69220802,2004,108,11774,tt0339291
Million Dollar Baby,Drama,Clint Eastwood,Hilary Swank,Clint Eastwood,1.648554,12/14/04,7.6,1355,Lakeshore Entertainment,34633361.994364396,250241793.971209,2004,132,70,tt0405159
Garfield,Animation,Bill Murray,Breckin Meyer,Peter Hewitt,1.648211,6/10/04,5.2,435,Twentieth Century Fox Film Corporation,57722269.990607396,231817870.53772202,2004,80,8920,tt0356634
The Lion King 1Â½,Animation,Nathan Lane,Ernie Sabella,Bradley Raymond,1.6178569999999999,2/6/04,6.2,374,Walt Disney Television Animation,36465392.87917733,113802822.54054782,2004,77,11430,tt0318403
Shark Tale,Animation,Will Smith,Robert De Niro,Bibo Bergeron|Vicky Jenson|Rob Letterman,1.615629,9/20/04,5.8,852,DreamWorks SKG,86583404.9859111,423998956.150469,2004,90,10555,tt0307453
Sky Captain and the World of Tomorrow,Mystery,Jude Law,Gwyneth Paltrow,Kerry Conran,1.590381,9/17/04,5.7,249,Paramount Pictures,80811177.9868504,66910149.97631071,2004,107,5137,tt0346156
Mulan II,Animation,Ming-Na Wen,BD Wong,Darrell Rooney|Lynne Southerland,1.557067,11/3/04,5.9,253,Walt Disney Pictures,36465392.87917733,113802822.54054782,2004,79,12242,tt0279967
The SpongeBob SquarePants Movie,Animation,Tom Kenny,Clancy Brown,Stephen Hillenburg,1.556897,11/14/04,6.6,348,Paramount Pictures,34633361.994364396,161809136.003827,2004,87,11836,tt0345950
Species III,Science Fiction,Natasha Henstridge,Sunny Mabrey,Brad Turner,1.5534290000000002,11/26/04,4.7,41,FGM Entertainment,36465392.87917733,113802822.54054782,2004,111,9711,tt0410650
Anchorman: The Legend of Ron Burgundy,Comedy,Will Ferrell,Christina Applegate,Adam McKay,1.5271540000000001,7/9/04,6.7,1002,Apatow Productions,30015580.3951158,104562954.67831999,2004,94,8699,tt0357413
13 Going On 30,Comedy,Jennifer Garner,Mark Ruffalo,Gary Winick,1.497252,4/13/04,6.1,662,Columbia Pictures,42714479.7930495,111352835.687324,2004,98,10096,tt0337563
Ella Enchanted,Fantasy,Anne Hathaway,Hugh Dancy,Tommy O'Haver,1.473411,4/9/04,5.7,238,Miramax Films,35787807.3941766,31618836.069676697,2004,96,14442,tt0327679
Scooby-Doo 2: Monsters Unleashed,Mystery,Freddie Prinze Jr.,Sarah Michelle Gellar,Raja Gosnell,1.433373,3/24/04,5.2,263,Mosaic Media Group,36465392.87917733,209493550.575329,2004,93,11024,tt0331632
Finding Neverland,Drama,Johnny Depp,Kate Winslet,Marc Forster,1.428313,10/17/04,7.1,695,Miramax Films,28861134.995303698,134800613.42610702,2004,106,866,tt0308644
A Cinderella Story,Comedy,Hilary Duff,Jennifer Coolidge,Mark Rosman,1.408588,7/10/04,5.9,379,Gaylord Films,21934462.5964308,80889575.2195062,2004,95,11247,tt0356470
AVP: Alien vs. Predator,Adventure,Sanaa Lathan,Raoul Bova,Paul W.S. Anderson,1.3487040000000001,8/12/04,5.5,696,Impact Pictures,80811177.9868504,197622423.16242298,2004,101,395,tt0370263
DodgeBall: A True Underdog Story,Comedy,Vince Vaughn,Christine Taylor,Rawson Marshall Thurber,1.338131,6/18/04,6.2,551,Twentieth Century Fox Film Corporation,23088907.9962429,193626249.22536698,2004,92,9472,tt0364725
Banlieue 13,Action,David Belle,Cyril Raffaelli,Pierre Morel,1.327137,11/9/04,6.5,351,Canal Plus,13853344.7977457,11064355.944147,2004,84,10045,tt0414852
Alexander,War,Colin Farrell,Angelina Jolie,Oliver Stone,1.3190680000000001,11/21/04,5.6,519,France 3 CinÃ©ma,178939036.970883,193136628.151289,2004,175,1966,tt0346491
Harold & Kumar Go to White Castle,Comedy,John Cho,Kal Penn,Danny Leiner,1.318761,5/30/04,6.4,414,New Line Cinema,10390008.5983093,27633853.326326597,2004,88,11282,tt0366551
Saw,Horror,Cary Elwes,Danny Glover,James Wan,1.3097530000000002,10/1/04,7.1,1135,Twisted Pictures,1385334.47977457,119960348.263852,2004,103,176,tt0387564
Spider-Man 2,Action,Tobey Maguire,Kirsten Dunst,Sam Raimi,1.304553,6/25/04,6.4,2735,Laura Ziskin Productions,230889079.96242902,904815446.895049,2004,127,558,tt0316654
EuroTrip,Comedy,Scott Mechlowicz,Jacob Pitts,Jeff Schaffer,1.279087,2/20/04,6.4,376,DreamWorks SKG,28861134.995303698,24008824.349747,2004,93,9352,tt0356150
Man on Fire,Action,Denzel Washington,Dakota Fanning,Tony Scott,1.277711,4/23/04,7.3,1002,Regency Enterprises,80811177.9868504,150416978.751739,2004,146,9509,tt0328107
Along Came Polly,Comedy,Ben Stiller,Jennifer Aniston,John Hamburg,1.2306700000000002,1/16/04,5.7,440,Universal Pictures,48486706.792110205,198522339.90382,2004,90,5966,tt0343135
Closer,Drama,Natalie Portman,Jude Law,Mike Nichols,1.2088370000000002,12/1/04,6.6,427,Columbia Pictures,31170025.794928003,133344247.075328,2004,104,2288,tt0376541
Catwoman,Action,Halle Berry,Benjamin Bratt,Pitof,1.129322,7/22/04,4.3,415,Village Roadshow Pictures,115444539.98121399,94782713.7501835,2004,104,314,tt0327554
Christmas with the Kranks,Comedy,Tim Allen,Jamie Lee Curtis,Joe Roth,1.12564,11/24/04,5.3,99,Columbia Pictures,69266723.9887289,113802822.54054782,2004,99,13673,tt0388419
9 Songs,Drama,Kieran O'Brien,Margo Stilley,Michael Winterbottom,1.1173,7/16/04,5.2,53,Revolution Films,1154445.39981214,383648.758601772,2004,66,27,tt0411705
Barbie as The Princess & the Pauper,Animation,Kelly Sheridan,Roger Monk,William Lau,1.075536,9/28/04,6.8,83,,36465392.87917733,113802822.54054782,2004,85,15165,tt0426955
King Arthur,Adventure,Clive Owen,Ioan Gruffudd,Antoine Fuqua,1.06218,7/7/04,6.1,449,Jerry Bruckheimer Films,138533447.97745702,235007976.063267,2004,126,9477,tt0349683
The Chronicles of Riddick,Adventure,Vin Diesel,Christina Cox,David Twohy,1.052176,6/11/04,6.2,1118,Universal Pictures,121216766.980275,133653299.03553,2004,119,2789,tt0296572
Spanglish,Comedy,Adam Sandler,TÃ©a Leoni,James L. Brooks,1.042281,12/17/04,5.6,215,Gracie Films,92355631.98497191,63542252.93252221,2004,130,2539,tt0371246
Secret Window,Thriller,Johnny Depp,John Turturro,David Koepp,1.0394299999999999,3/12/04,6.3,513,Columbia Pictures Corporation,46177815.9924859,107263182.842909,2004,96,1586,tt0363988
Layer Cake,Drama,Daniel Craig,Colm Meaney,Matthew Vaughn,1.035728,9/30/04,7.0,308,Sony Pictures Classics,7503895.09877896,13680425.0390895,2004,105,4836,tt0375912
After the Sunset,Action,Pierce Brosnan,Salma Hayek,Brett Ratner,0.9864440000000001,11/12/04,6.0,139,New Line Cinema,69266723.9887289,70822682.0352595,2004,97,10589,tt0367479
Thunderbirds,Action,Brady Corbet,Soren Fulton,Jonathan Frakes,0.976399,7/23/04,4.4,50,Studio Canal,65803387.789292395,32651914.624606606,2004,95,14623,tt0167456
The Princess Diaries 2: Royal Engagement,Comedy,Anne Hathaway,Julie Andrews,Garry Marshall,0.9618469999999999,8/6/04,5.9,386,Walt Disney Pictures,46177815.9924859,109844827.530475,2004,113,11130,tt0368933
Before Sunset,Drama,Ethan Hawke,Julie Delpy,Richard Linklater,0.9397049999999999,2/10/04,7.5,418,Castle Rock Entertainment,3117002.5794928,18462600.8177167,2004,80,80,tt0381681
The Grudge,Horror,Sarah Michelle Gellar,Jason Behr,Takashi Shimizu,0.935831,10/22/04,5.8,462,Ghost House Pictures,11544453.998121401,211811410.261264,2004,92,1970,tt0391198
Cellular,Action,Chris Evans,Kim Basinger,David R. Ellis,0.935483,9/6/04,6.0,322,New Line Cinema,28861134.995303698,65136911.4521907,2004,94,9759,tt0337921
The Machinist,Thriller,Christian Bale,Jennifer Jason Leigh,Brad Anderson,0.9251209999999999,2/9/04,7.2,621,Filmax Entertainment,5772226.99906074,9470186.90932801,2004,101,4553,tt0361862
Seed of Chucky,Comedy,Brad Dourif,Jennifer Tilly,Don Mancini,0.9243629999999999,11/11/04,4.9,140,Rogue Pictures,13853344.7977457,28664468.294773303,2004,87,11249,tt0387575
Taxi,Thriller,Queen Latifah,Jimmy Fallon,Tim Story,0.9220870000000001,10/6/04,5.0,135,Twentieth Century Fox Film Corporation,28861134.995303698,42264206.835979104,2004,97,11045,tt0316732
Sniper 3,Drama,Tom Berenger,Byron Mann,P.J. Pesce,0.893921999999999,10/18/04,5.3,15,Destination Films,36465392.87917733,113802822.54054782,2004,97,14247,tt0408196
Shall We Dance?,Drama,Richard Gere,Jennifer Lopez,Peter Chelsom,0.87766,10/15/04,5.8,172,Miramax Films,57722269.990607396,196404018.024125,2004,107,4380,tt0358135
Jersey Girl,Comedy,Ben Affleck,Raquel Castro,Kevin Smith,0.874937999999999,3/25/04,5.7,176,Miramax Films,40405588.9934252,41673611.0405616,2004,102,9541,tt0300051
Primer,Science Fiction,Shane Carruth,David Sullivan,Shane Carruth,0.8563290000000001,10/8/04,6.9,341,Thinkfilm,8081.117798685041,490362.228024208,2004,79,14337,tt0390384
ã‚¢ãƒƒãƒ—ãƒ«ã‚·ãƒ¼ãƒ‰,Animation,Ai Kobayashi,JÅ«rÅta Kosugi,Shinji Aramaki,0.845493,4/17/04,6.7,77,Toho Company,11544453.998121401,1687786.47562596,2004,101,11633,tt0401233
Home on the Range,Western,Randy Quaid,Steve Buscemi,Will Finn|John Sanford,0.8379059999999989,4/2/04,5.8,210,Walt Disney Pictures,126988993.97933601,120006285.955201,2004,76,13700,tt0299172
Hidalgo,Western,Viggo Mortensen,Zuleikha Robinson,Joe Johnston,0.815044,3/5/04,6.3,177,Casey Silver Productions,115444539.98121399,124799530.556322,2004,136,2023,tt0317648
I Heart Huckabees,Comedy,Jason Schwartzman,Dustin Hoffman,David O. Russell,0.809063,9/10/04,6.3,125,Fox Searchlight Pictures,25397798.7958672,113802822.54054782,2004,106,1599,tt0356721
Fahrenheit 9/11,Documentary,Michael Moore,George W. Bush,Michael Moore,0.80542,6/25/04,6.6,198,BIM Distribuzione,6926672.39887289,137511206.201495,2004,122,1777,tt0361596
Win a Date with Tad Hamilton!,Comedy,Josh Duhamel,Kate Bosworth,Robert Luketic,0.804481,1/23/04,5.3,78,DreamWorks SKG,19625571.7968065,19602596.0244594,2004,95,13476,tt0335559
White Chicks,Comedy,Shawn Wayans,Marlon Wayans,Keenen Ivory Wayans,0.8025770000000001,6/23/04,6.4,370,Columbia Pictures,42714479.7930495,130552160.84472099,2004,109,12153,tt0381707
Hotel Rwanda,Drama,Don Cheadle,Sophie Okonedo,Terry George,0.787185,9/11/04,7.2,456,Lions Gate Films,20202794.4967126,43868925.1928616,2004,121,205,tt0395169
Wild Things 2,Crime,Susan Ward,Leila Arcieri,Jack Perez,0.781151,3/6/04,5.4,24,Mandalay Pictures,3232447.11947401,113802822.54054782,2004,95,10367,tt0365270
Twisted,Action,Ashley Judd,Samuel L. Jackson,Philip Kaufman,0.7678699999999989,2/27/04,5.7,67,Paramount Pictures,57722269.990607396,29086251.848266996,2004,97,13572,tt0315297
"Mickey, Donald, Goofy: The Three Musketeers",Adventure,Wayne Allwine,Tony Anselmo,Donovan Cook,0.763058,8/3/04,6.3,98,Walt Disney Pictures,36465392.87917733,113802822.54054782,2004,68,21385,tt0371823
Open Water,Drama,Blanchard Ryan,Daniel Travis,Chris Kentis,0.762134,8/6/04,5.3,171,Plunge Pictures LLC,150077.901975579,63111168.012442105,2004,79,83,tt0374102
Un long dimanche de fianÃ§ailles,War,Audrey Tautou,Gaspard Ulliel,Jean-Pierre Jeunet,0.756105,10/26/04,6.9,195,2003 Productions,54258933.791170895,113802822.54054782,2004,133,2841,tt0344510
Team America: World Police,Music,Trey Parker,Matt Stone,Trey Parker,0.73712,10/11/04,6.5,391,Paramount Pictures,36942252.793988705,58769839.144195706,2004,98,3989,tt0372588
Tremors 4: The Legend Begins,Action,Michael Gross,Sara Botsford,S. S. Wilson,0.730097,1/2/04,5.5,44,Stampede Entertainment,5772226.99906074,113802822.54054782,2004,101,10891,tt0334541
Mickey's Twice Upon a Christmas,Animation,Wayne Allwine,Tony Anselmo,Carole Holliday|Matthew O'Callaghan|Theresa Cullen,0.722796,1/1/04,7.2,36,Walt Disney Pictures,36465392.87917733,113802822.54054782,2004,68,13378,tt0424279
New York Minute,Comedy,Ashley Olsen,Mary-Kate Olsen,Dennie Gordon,0.7167600000000001,5/1/04,5.4,97,Warner Bros. Pictures,36465392.87917733,113802822.54054782,2004,91,11025,tt0363282
Immortel (ad vitam),Drama,Linda Hardy,Thomas Kretschmann,Enki Bilal,0.715262,3/13/04,6.1,70,Sofica Valor 6,28475330.8871404,113802822.54054782,2004,103,5552,tt0314063
(T)Raumschiff Surprise - Periode 1,Comedy,Michael Herbig,Rick Kavanian,Michael Herbig,0.7128869999999989,7/14/04,6.3,80,herbX film GmbH,36465392.87917733,113802822.54054782,2004,87,9805,tt0349047
Sideways,Comedy,Paul Giamatti,Thomas Haden Church,Alexander Payne,0.7026319999999989,10/22/04,6.6,238,Fox Searchlight Pictures,18471126.3969943,126414429.967186,2004,126,9675,tt0375063
Without a Paddle,Action,Seth Green,Matthew Lillard,Steven Brill,0.696312,8/20/04,5.2,109,Paramount Pictures,21934462.5964308,80385323.8588769,2004,95,10762,tt0364751
Saved!,Comedy,Jena Malone,Mandy Moore,Brian Dannelly,0.681008,1/21/04,6.0,71,,36465392.87917733,113802822.54054782,2004,92,13193,tt0332375
Starsky & Hutch,Comedy,Ben Stiller,Owen Wilson,Todd Phillips,0.6799970000000001,3/5/04,5.5,368,Weed Road Pictures,69266723.9887289,196565975.169264,2004,101,9384,tt0335438
Five Children and It,Adventure,Tara Fitzgerald,Freddie Highmore,John Stephenson,0.6793859999999989,10/15/04,5.4,35,Capitol Films,36465392.87917733,113802822.54054782,2004,88,16791,tt0366450
Confessions of a Teenage Drama Queen,Music,Lindsay Lohan,Adam Garcia,Sara Sugarman,0.678708,2/17/04,5.1,134,Walt Disney Pictures,17316680.997182198,33861116.5241773,2004,89,11132,tt0361467
The Village,Drama,Bryce Dallas Howard,Joaquin Phoenix,M. Night Shyamalan,0.677316,7/30/04,6.0,514,Scott Rudin Productions,69266723.9887289,296343271.10718703,2004,108,6947,tt0368447
The Whole Ten Yards,Comedy,Bruce Willis,Matthew Perry,Howard Deutch,0.674089,4/7/04,5.5,161,Cheyenne Enterprises,46177815.9924859,30195421.053944,2004,98,2122,tt0327247
The Passion of the Christ,Drama,Jim Caviezel,Maia Morgenstern,Mel Gibson,0.672946,2/25/04,6.8,457,Icon Productions,34633361.994364396,706404470.566721,2004,127,615,tt0335345
Anacondas: The Hunt for the Blood Orchid,Adventure,Johnny Messner,KaDee Strickland,Dwight H. Little,0.652366,8/26/04,5.0,109,Screen Gems,23088907.9962429,81957424.515433,2004,97,11237,tt0366174
Ray,Drama,Jamie Foxx,Kerry Washington,Taylor Hackford,0.648721,10/29/04,7.0,246,Universal Pictures,46177815.9924859,143995745.63781202,2004,152,1677,tt0350258
Dirty Dancing: Havana Nights,Drama,Diego Luna,Romola Garai,Guy Ferland,0.640232,2/27/04,5.8,76,Miramax Films,28861134.995303698,31960839.3649257,2004,86,10677,tt0338096
Anatomie de l'enfer,Drama,Amira Casar,Rocco Siffredi,Catherine Breillat,0.63799,1/28/04,4.8,16,Canal Plus,36465392.87917733,113802822.54054782,2004,88,2003,tt0348529
Bride & Prejudice,Drama,Aishwarya Rai Bachchan,Martin Henderson,Gurinder Chadha,0.626685,2/11/04,6.8,64,,8081117.79868504,113802822.54054782,2004,111,57825,tt0361411
Birth,Drama,Nicole Kidman,Cameron Bright,Jonathan Glazer,0.6222810000000001,9/8/04,5.8,84,Fine Line Features,23088907.9962429,113802822.54054782,2004,100,10740,tt0337876
Wimbledon,Comedy,Kirsten Dunst,Paul Bettany,Richard Loncraine,0.614247999999999,9/13/04,5.7,168,Universal Pictures,35787807.3941766,47923345.5181197,2004,98,11823,tt0360201
Taking Lives,Action,Angelina Jolie,Ethan Hawke,D.J. Caruso,0.611839999999999,3/19/04,6.0,181,Village Roadshow Pictures,51950042.9915466,75582151.02731779,2004,103,11081,tt0364045
The Perfect Score,Comedy,Chris Evans,Bryan Greenberg,Brian Robbins,0.610925,1/30/04,5.5,78,Paramount Pictures,36465392.87917733,113802822.54054782,2004,93,13505,tt0314498
Cube Zero,Mystery,Zachary Bennett,Stephanie Moore,Ernie Barbarash,0.588087,10/15/04,5.6,121,Mad Circus Films,952417.4548450221,113802822.54054782,2004,97,438,tt0377713
Garden State,Comedy,Zach Braff,Natalie Portman,Zach Braff,0.586936,1/16/04,7.1,342,Fox Searchlight Pictures,2886113.49953037,30918036.9163932,2004,102,401,tt0333766
Napoleon Dynamite,Comedy,Jon Heder,Aaron Ruell,Jared Hess,0.577759,6/11/04,6.6,290,Access Films,461778.159924859,53240824.9297404,2004,95,8193,tt0374900
First Daughter,Comedy,Katie Holmes,Marc Blucas,Forest Whitaker,0.575292,9/24/04,5.2,89,Regency Enterprises,34633361.994364396,113802822.54054782,2004,105,13969,tt0361620
Exorcist: The Beginning,Horror,Stellan SkarsgÃ¥rd,Izabella Scorupco,Renny Harlin,0.5720189999999991,8/20/04,4.6,79,Morgan Creek Productions,92355631.98497191,90047417.6903518,2004,114,11026,tt0204313
Sleepover,Comedy,Alexa PenaVega,Mika Boorem,Joe Nussbaum,0.5584020000000001,7/9/04,5.4,70,,36465392.87917733,113802822.54054782,2004,89,9893,tt0368975
Wicker Park,Drama,Josh Hartnett,Rose Byrne,Paul McGuigan,0.545686,9/3/04,6.6,83,Lakeshore Entertainment,34633361.994364396,15009241.3354254,2004,114,11208,tt0324554
ArsÃ¨ne Lupin,Romance,Romain Duris,Kristin Scott Thomas,Jean-Paul SalomÃ©,0.532612,9/17/04,4.8,61,,26552244.195679396,113802822.54054782,2004,131,11540,tt0373690
The Life Aquatic with Steve Zissou,Adventure,Bill Murray,Anjelica Huston,Wes Anderson,0.530799,12/10/04,7.0,433,Touchstone Pictures,57722269.990607396,40184400.7181573,2004,119,421,tt0362270
Around the World in 80 Days,Action,Jackie Chan,Steve Coogan,Frank Coraci,0.5211210000000001,6/16/04,5.6,380,Studio Babelsberg,126988993.97933601,83326593.2962741,2004,120,10204,tt0327437
Barbershop 2:  Back in Business,Comedy,Ice Cube,Cedric the Entertainer,Kevin Rodney Sullivan,0.520891,1/20/04,5.7,35,Metro-Goldwyn-Mayer (MGM),20780017.1966186,75120237.7972812,2004,106,21301,tt0337579
Blueberry,Western,Vincent Cassel,Juliette Lewis,Jan Kounen,0.5187649999999989,2/9/04,4.8,28,Ultra Films,61185606.1900438,113802822.54054782,2004,124,10046,tt0276830
The Prince & Me,Comedy,Julia Stiles,Luke Mably,Martha Coolidge,0.509946,3/28/04,5.8,163,Paramount Pictures,36465392.87917733,113802822.54054782,2004,111,11137,tt0337697
Les Dalton,Comedy,Eric Judor,Ramzy Bedia,Philippe HaÃ¯m,0.508061,12/8/04,4.0,39,Union GÃ©nÃ©rale CinÃ©matographique (UGC),36465392.87917733,113802822.54054782,2004,86,10870,tt0368668
King Solomon's Mines,Action,Patrick Swayze,Alison Doody,Steve Boyum,0.506575,6/6/04,5.0,12,Larry Levinson Productions,36465392.87917733,113802822.54054782,2004,173,12450,tt0397501
Highwaymen,Action,Jim Caviezel,Rhona Mitra,Robert Harmon,0.5046069999999989,2/13/04,5.6,22,New Line Cinema,36465392.87917733,428756.40370863205,2004,80,29979,tt0339147
